Review,Aspects,Sentiments
"Hallo Gemeinde,at jemand Erfahrungen mit der Bavaria Direkt Autoversicherung gemacht? Hab nun einige Angebote und Leistungen verglichen und bin nun bei dieser Gesellschaft hängen geblieben. Nun würde mich interessieren, wie die Meinungen so sind. Auch in punkto Service und erreichbarkeit.äre für jedes feedback dankbar.ingbenzly","Erfahrungen, Angebote, Leistungen, Service",neutral
"ich bin Geschädigter eines Bavaria Kunden. Klare Sache: Motorrad auf einem Parkplatz beim Rücksetzen umgefahren.avaria gibt keine Reparaturfreigabe, obwohl schon seit 2 Wochen ein Gutachten vorliegt. Motorrad steht seit zwei Wochen in der Werkstatt, ist nicht fahrbereit und die Bavaria schickt nach 2 Wochen einen Fragebogen mit Frage wie wie heißt unser Versicherungsnehmer, welches Kennzeichen hat er, wie hoch schätzen sie den Schaden ....n dem Fragebogen steht auch, dass man sofort den Reparaturauftrag erteilen soll, um die Kosten gering zu halten; die Mitarbeiterin am Telefon erklärt aber, dass es ausdrücklich keine Reparaturgenehmigung seitens der Bavaria gibt und die Sache noch intern geprüft werden müsse, was noch nicht geschehen sei. Auf Nachfrage, ob man jemanden sprechen könne, um den Sachverhalt nochmals klar zu machen, bekommt man keine Telefonnummer, keinen Namen und keine Emailadresse. Man könne sich nur schriftlich beschweren.owas finde ich beschämend für eine Versicherung, die Mitglied der Sparkassen Finanzgruppe ist. Wenn man sich Bavaria nennt, eine 089er-Münchner-Vorwahl auf den Papieren stehen hat und seinen Sitz in Berlin hat und die kleingeschriebene Ergänzung Ostdeutsche Versicherung trägt, scheint dieses Vorgehen wohl Programm zu sein.rmes Deutschland","Kunden, Frage, Schaden, Kosten, Telefon, bekommt, Versicherung",negative
"hi,in wenig spaet. aber vielleicht hilft es jemand anderen.ch habe gerade massiv Probleme mit Bavariadirekt:ein Fahrzeug wurde von 2,5 Monate gestohlen und Bavariadirekt reguliert trotz zusage nicht.us einer 4 woechigen gesetztlichen Wartefrist (bei wiederauffinden des fahrzeugs innerhalb von 4 Wochen muss man es zurueck nehmen (auch mit evtl. unfallschaden)) haben sie einfach mal 6 Wochen gemacht.ie schadensregulierung ist nicht erreichbar (Telefon, email, einschreiben...)ein Anwalt ist eingeschaltet.ch rate aufgrund meiner persoenlichen Erfahrungen dringend ab.russ MerlotS: die Regulierung soll die OVAG angeblich machen -> auch hier rate ich ab.","Probleme, einfach, Telefon, Erfahrungen",negative
"Es gibt keine 4 Wochenfrist, sondern eine Monatsfrist.",,neutral
verstehe. danke. aber 45 tage hat auch kein Monat.,,neutral
"Obwohl Kopie des alten Vertrags an die Bavaria gemailt, plötzlich Kontobelastung von ca. 25% auf 75%.eitweise funktioniert der Account im Netz nicht. Telefonisch mühsam zu erreichen. Werden zu Cosmos wechseln.m Schadensfall bei unklarer Unfallursache oder Schuld kann eine kompetente Versicherung mit richtigen Experten wichtig sein.","Vertrags, Telefonisch, Schadensfall, Versicherung",negative
"Zitat:Betasealer schrieb am 10. Oktober 2015 um 18:09:59 Uhr:erden zu Cosmos wechseln.m Schadensfall bei unklarer Unfallursache oder Schuld kann eine kompetente Versicherung mit richtigen Experten wichtig sein.u weißt aber schon, daß auch die COSMOS eine Direktversicherung ist.uch dort geht alles nur online.","Schadensfall, Versicherung",negative
"Servus,in auch noch bis Ende des Jahres bei der Bavaria versichert. Der niedrige Beitrag hat mich vor ca. einem Jahr gereizt. Ich hatte im laufenden Versicherungsjahr keinen Schaden und kann somit auch nicht beurteilen, wie sich die Versicherung im Schadensfall verhält. Ich habe dennoch gekündigt weil:) das Internetportal einfach katastrophal ist, verglichen mit meinem vorigen Verischerer. Egal ob Ummeldung, Kilometeranpassung oder sonstiges, alles ziemlich umständlich wenn überhaupt möglich.ußerdem ist es katastrophal, wenn ich auf eine Anfrage per Mail durchschnittlich 4-5 Tage auf eine Antwort - deren Qualität ich hier nicht beurteilen mag - warten muss.) Telefonservice ist gelinde gesagt besch****en. Bin im Februar umgezogen und wollte das Auto ummelden. Hat zwar funktioniert, jedoch war das alles andere als einfach verglichen zu zahlreichen anderen Versicherungen. Und als ehemaliger Soldat bin ich schon des öfteren umgezogen.llein diese zwei Punkte (unabhg. von den Leistungen der Versicherung im Schadensfall und den niedrigen Beiträgen in meinem Fall) reichten aus, dass ich die Versicherung unverzüglich wieder kündigte. Eine Direktversicherung sollte zumindest ein benutzerfreundliches Portal besitzen und falls dies aus irgendwelchen Gründen nicht wirklich ist, zumindest einen halbwegs kompetenten Telefonservice oder CRM System, so dass man nicht ständig mit seinem Anliegen von vorn beginnt. Darauf habe ich persönlich einfach keinen Bock.ersönlich gehe ich wieder zurück zu meinem ehemaligen, langjährigen Versicherer, der zumindest ein für mich tolles Onlineportal hat und dessen Telefonservice mir ebenfalls zugesagt hat, auch wenn dieser Direktversicherer im meinem Fall etwas teuerer ist.G","versichert, Beitrag, Schaden, beurteilen, Versicherung, Schadensfall, einfach, Anfrage, Mail, Antwort, Leistungen",negative
"nachtrag:orgen ist die diebstahlsmeldung 3 monate her und die versicherung hat noch nicht reguliert.ch bin verzweifelt.ie koennen die sowas machen?rmes deutschland, das sowas moeglich ist.ch fuehle mich betrogen.itat:merlot365 schrieb am 28. September 2015 um 14:50:47 Uhr:i,in wenig spaet. aber vielleicht hilft es jemand anderen.ch habe gerade massiv Probleme mit Bavariadirekt:ein Fahrzeug wurde von 2,5 Monate gestohlen und Bavariadirekt reguliert trotz zusage nicht.us einer 4 woechigen gesetztlichen Wartefrist (bei wiederauffinden des fahrzeugs innerhalb von 4 Wochen muss man es zurueck nehmen (auch mit evtl. unfallschaden)) haben sie einfach mal 6 Wochen gemacht.ie schadensregulierung ist nicht erreichbar (Telefon, email, einschreiben...)ein Anwalt ist eingeschaltet.ch rate aufgrund meiner persoenlichen Erfahrungen dringend ab.russ MerlotS: die Regulierung soll die OVAG angeblich machen -> auch hier rate ich ab.","versicherung, Probleme, einfach, Telefon, Erfahrungen",negative
"ich habe die Bavaria als Anbieter von Youngtimerversicherungen gefunden. War froh, dass jemand zu einem sehr guten Preis meinen Youngtimer auch Kasko- versichern möchte. (Haftpflicht machen alle, aber bei Kasko bekommt man bei einem 25 Jahren alten Auto i.d.R. eine Ablehnung).abe über das Onlineportal alles eingegeben, funktionierte alles gut, Preis war OK. Habe incl. persönlicher Daten etc. den Antrag online abgesendet und dann......m selben Tag eine Mail, dass der Antrag unter Nr xxx eingegangen sein und geprüft werden. Ist OK. Dann 2 Tage später eine Mail, dass mein Zugang für das Onlineportal ab Zusendung des Versicherungsscheines bzw. nach Abschluß der Prüfung des Antrags freigeschaltet wird.nd dann..... bisher 1 Woche Wartezeit. Habe darauf angerufen und nachgefragt, wie lange es dauert, da ich meine jetzige Versicherung noch kündigen muß. Auskunft war: Ihren Namen haben wir im System, jedoch keinen Antragür einen Direktversicherer ist dass meiner Meinung der Super Gau! Was ist mit meinen Daten passiert? Wo befindet sich gerade der Antrag, bzw. wo sind die Daten derzeit gespeichert?s geht um eine wichtige Versicherung und der Versicherer findet die Daten nicht.a ich bisher keine Info zum Abschluß der Versicherung habe, kann ich auch nichts widerrufen, habe aber per Mail der Versicherung eine Frist gesetzt, ab der das Thema für mich erledigt ist. Meine alte Versicherung habe ich nicht gekündigt. Falls ein Lastschrifteinzug erfolgt, wird sofort das Geld zurückgeholt.ur Sicherheit schicke ich aber nächste Woche trotzdem einen Widerruf, damit ich auf der sicheren Seite bin!m Gegensatz zu meiner bisherigen Versicheung der HUK24 ist diese Erfahrung einfach nur mit völlig ungenügend zu bewerten!","Preis, bekommt, Antrag, Mail, Zusendung, Versicherungsscheines, Versicherung, Auskunft, Super, Geld, Widerruf, HUK24, einfach",negative
"Name: BAVARIA (wie seriöse alte bayrische Versicherung, Telefonvorwahl 089 wie München, Sitz ist aber in Berlin, Marke der OVAG (wie großer Stromanbietet in Hessen), rufen nur mit unterdrückter Nr. an.chadensregulierung erst nach Fristsetzung und Drohung mit Rechtsstreit.",Versicherung,negative
"Ich bin seit Jahren dabei...aber nicht mehr lange, ich hatte LETZTES JAHR die KM anpassung von 10 000Km auf 17 000Km per Mail gemeldet da mein 2-Wagen weggefallen ist...der auch bei der Bavaria versichert war. Jetzt 1 Jahr später wurde ich angerufen und man fragte meinen Km-Stnd ab und man würde jetzt 1 Jahr später die anpassung vornehmen...ergebniss: zahle jetzt über 100 Euro mehr..und das RÜCKWIRKEND!!! .Hätte Bavaria die anpassung letztes Jahr gemacht wäre ich schon letztes Jahr zu einer anderen Versicherung gewechselt...so kann man auch Kunden halten.....vergleichbare Versicherung mit gleicher Leistungen spare ich 250€ im Jahr jetzt!!!","Mail, versichert, Versicherung, Kunden, Leistungen",negative
"Habe mein Auto jetzt seit zwei Jahren bei der Bavaria Direkt versichert, hatte Gottseidank nie einen Schaden, denn die ticken nicht sauber.er Ärger ging gleich am ersten Tag los, weil das Vergleichsportal, über das ich auf diesen Laden kam, ein Dummy-Kennzeichen mitgeschickt hatte (ich kannte ja mein Kennzeichen noch nicht, da Neuzulassung). Es dauerte Wochen und kostete Nerven ohne Ende, das zu korrigieren. Alle negativen Erfahrungen, die hier mit der Hotline und der Verwaltung geschildert wurden, kann ich nur bestätigen.er Gipfel war dann mein Umzug im Oktober. Es bedurfte eines fast übermenschlichen Kraftakts, an eine EVB zu kommen, welche für die Zulassungsstelle unbedingt benötigt wird. Aber ich habs geschafft.ie Retourkutsche: Wahrscheinlich wegen des Umzugs haben sie mir den Vertrag ohne Angabe von Gründen einen Monat später gekündigt (ohne Schaden usw.!!). Am Tag, nachdem mir die Kündigung zuging, kam per E-Mail die Mitteilung „Neue Dokumente in Ihrer Postbox. Und siehe da: Es war die Beitragsrechnung für 2016.ch habe sofort per Einschreiben die Einzugsermächtigung widerrufen. Aber ich gehe jede Wette ein, dass die mir den Beitrag für 2016 trotz ihrer Kündigung abbuchen.illig allein reicht nicht. NIE WIEDER!!!!","versichert, Schaden, Erfahrungen, Hotline, Zulassungsstelle, Vertrag, Kündigung, Beitrag",negative
"Bavaria Direkt nie wieder, die kann man vergessen, das ist kein Versicherung nur Abzocke.IE WIEDER Bavaria Direkt","Versicherung, Abzocke",negative
danke für den hilfreichen beitrag.,beitrag,neutral
"Zitat:Anonym2109 schrieb am 10. Januar 2016 um 17:37:21 Uhr:avaria Direkt nie wieder, die kann man vergessen, das ist kein Versicherung nur Abzocke.IE WIEDER Bavaria Direktnd für diesen sinnfreien Kommentar hast Du dich heute extra angemeldet?","Versicherung, Abzocke",negative
"Hallo Gemeinde,at jemand Erfahrungen mit der Bavaria Direkt Autoversicherung gemacht? Hab nun einige Angebote und Leistungen verglichen und bin nun bei dieser Gesellschaft hängen geblieben. Nun würde mich interessieren, wie die Meinungen so sind. Auch in punkto Service und erreichbarkeit.äre für jedes feedback dankbar.ingbenzly","Erfahrungen, Angebote, Leistungen, Service",neutral
"Ich habe im April 2015 den Wagen meiner Freundin über meinen Namen zugelassen und bei der Bavaria versichert.ach gerade mal einem Monat gab es einen kleinen Parkplatzunfall den meine Freundin verschuldet hatte. Der Schaden am Gegnerfahrzeug hatte ca. 300€ betragen. Wir wollten dies gleich privat klären doch bevor eine richtige Kontaktaufnahme mit dem Geschädigten in der Folgewoche möglich war, hatte dieser das der Bavaria ordnungsgemäß gemeldet.ch habe 2-3 mal Mail- und Telefonkontakt mit der Bavaria gehabt um den Schaden selbst zu regeln und zu bezahlen um es nicht über die Versicherung abzurechnen, da eine Höherstufung teuerer gewesen wäre. Das ganze hat ohne Probleme funktioniert. Lediglich ein mal musste ich 20 Minuten in der Warteschleife verbringen.ie bisherige Erfahrung war daher zufriedenstellend.","Schaden, Mail, Versicherung, Probleme",positive
"Ich habe auch zur BavariaDirekt gewechselt, zum 01.01.2016, mit folgendem Ergebnis!!ber Check24 eine günstige Nachfolgeversicherung gesucht, da die Vorversicherung (DAdirekt) den Beitrag trotz gestiegenem Schadenfreiheirabattt erheblich erhöht hatte (Sonderkündigungsrecht) und bei der BavariaDirekt gelandet :-((ie haben auch zuerst den Schadenfreiheitsrabatt der Vorversicherung anerkannt HK SF18/VK SF18 und baten dann um Übersendung der letzten Beitragsrechnung von 2015 für 2016. Dieses wurde wunschgemäß innerhalb von 4 Tagen erledigt und dann lag auf einmal in meinem Bavaria-Postfach ein neuer Versicherungsschein/Beitragsrechnung mit dem Hinweis, dass meine Vorversicherung den Schadenfreiheitsrabatt nicht bestätigt hätte. Von SF18/18 rutschte ich jetzt hoch auf SF 0 :-(, mit dem Hinweis mich doch mit der Vorversicherung in Verbindung zusetzen und dieses ab zu klären. Dieses habe ich gemacht und musste in der Geschäftsstelle erfahren, dass die BavariaDirekt keine Anfrage bei der DAdirekt gestellt hatte, da man das dort in der Geschäftsstelle auf dem PC-Bildschirm sehen konnte. Meine bisherigen Mails blieben ohne Beantwortungen, außer der Standart-Antwort Wir haben ihr Schreiben erhalten, bla, bla, bla und ich habe den Damen und Herren erst einmal den Abbuchungsauftrag bis zur Klärung des Sachverhaltes widerrufen und ihnen auch mitgeteilt, wenn sie sich daran nicht halten, dass ich den Betrag Rückbuchen lasse. Jetzt schaun wir mal, wie sich die Sache entwickelt, habe aber jetzt schon die Nase voll von dem Verein.","Check24, Vorversicherung, Beitrag, Sonderkündigungsrecht, SF, Hinweis, Anfrage, Mail, Schreiben, Betrag",negative
"Finger weg ...egal wie billig.iese Vers. ist das allerletzte...es wurde trotz Rabatt-Bestätigung und Vorlage des Schriftstückes der Vor-Versicherung ohne Hinweis zu dem abgebuchten bzw. gezahlten Kfz-Kasko Vertrag eine weitere Summe von 904.- für einen Vertag ohne Rabatt abgebucht. Daraufhin kam ein Entschuldigungsschreiben.etzt startete der zweite Versuch den Betrag von 904.- abzubuchen. Es ist ein derart dubioser und konfuser Schriftverkehr... trotz mehrmalige positive Anfragen (von der Bavaria) zu der Rabatt-Situation bei der Vorversicherung, was sofort die weitere negative Bearbeitung stoppen sollte...aber nein es geht weiter. Jetzt bittet man um einen Abbuchungsauftrag um ca. 7.50 € ( Gebühren für Fehlabbuchung bzw. Rückholung)bbuchen zu können... Unerklärlich, ich habe mittlerweile schon Pishing etc. in Verdacht gehabt. Eine Mail an die Geschäftsleitung für diese untragbaren Zustände mit 4 Vers.-Policen( 2 mit normalem Betrag ca. 390.-€ und die anderen mit dem erhöhten zuzüglichem Betrag von 904.-€ Das Zulassungs-Datum 04.01.2016 bis heute den 25.05.2016 zeigen eine unglaubliche (gewollte ?) Fehl-Bearbeitung.","Finger, weg, Vertrag, Betrag, Vorversicherung, Bearbeitung, Mail",negative
"Hmm, muss ein Einzelfall sein. Ich bin nun das vierte Jahr bei dieser Versicherung ohne irgendeine Problematik.ch hatte auch keinen Schaden bisher.ie die Schaden Regulierung ist, hoffe ich nie in Erfahrung bringen zu müssen","Versicherung, Schaden",positive
"Kündige heute zwei Verträge bei BavariaDirekt...ertrag läuft erst seit 01.01.2016. Vertragsanbahnung mit ganz schlechtem Service (unfreundliches Personal am Telefon). Gleiche Geschichten bei Bestätigung von SF-Klassen von Vorversicherung.ber was für mich der Hammer war:ollte ab 01.06.2016 einen Fahrer unter 23 Jahren (BF17) in die Verträge mit aufnehmen. Danach bekam ich für bei Verträge ein Angebot, wonach sich der Jahresbeitrag jeweils mehr als verdreifacht.etzt hat mirs gereicht.","Service, Telefon, Angebot, Jahresbeitrag",negative
das ist kein spezielles bavaria direkt problem.... problem ist einfach das ALLE versicherung mittlerweile bei den anzahl an tarifmerkmalen keinen druchblick mehr haben.ch denke bei der einführung wollte man einfach bei dem kunden eine möglichst große intransparenz erzeugen und nun blickt man selber nicht mehr durch.ch kann mich nicht dran erinnern dass man früher eine solche anzahl an angaben machen muss um eine verkackte kfz versicherung zu bekommen...as interessiert es eine versicherung ob ich einen goldhamster hab der männlich oder weiblich ist und selbstgenutztes wohneigentum besitzt und eine abschließbare einzel- oder doppelgarage hat :-) :-) :-),"einfach, versicherung, kunden",neutral
"Hab schlechte Erfahrung mit deren Kunden Hotline sehr unfreundlich. Meine Kündigung haben die garnicht ernst genommen, was für mich relativ war, dank anschreiben","schlechte, Kunden, Hotline, Kündigung",negative
"Diese Versicherung im Therad Titel ist ja idR bei den Vergleichsportalen immer oben mit bei - angebl. günstig&gut.ch selbst habe keine Erfahrungswerte dazu.ch habe Erfahrungswerte mit einer KFZ Vers. mit sitz in Coburg.un ja in den letzten 12 Jahre nie einen Unfall gehabt - bischen trantütig sind Sie aber schon den für den Neuenab ich nun 3 Policen und davon aber keine wie letztendlich gewünscht.n der Hotline viel bla blub da gelten dann andere Gesetze als bei der online Berechnung.llerdings war eine Bekannte letztens beim :-) einen Schaden zu regulieren , der frendliche Servisceberater meinech schauen Sie mal den Stapel Papier an das ist alles auch von der Vers. bei der Sie sind.r konnte kein gutes Wort lassen.etzt mal die Frage aller Fragen - wo bitte kann man sein Auto gut und zu vernünftigen Preisen versichern lassenhne groß vorher tausende Seiten bla blub im Kleingedrucken durchzulesen und ohne diesen Options Hokuspokuso du 5 Euro geschenk bekommst und an anderer Stelle 6 drauf legst ?es Weiteren frage ich mich ob die Option Rabattschutz sinvoll ist - gibt es hier eine möglichkeit das zu errechnen und anzuwägen. Die Hotline selbst ist dazu nicht in der Lage eine vernünftig Antwort zu generieren.iese Option kostet mich im halben Jahr immerhin 70 Euro.","Versicherung, KFZ, Unfall, Hotline, Schaden, Frage, frage, Antwort",negative
"Hatte nach einem Monat nach Vertragsbeginn, einen Steinschlagschaden, wurde ohne Murren oder Probleme in meiner Wunschwerkstatt erledigt.lar war nur ein Steinschlagschaden zur Ausbesserung, aber Anruf, Freigabe schnell und freundlich.","Probleme, schnell, freundlich",positive
"Zitat:-> Neurocil <- schrieb am 11. Juli 2016 um 12:08:37 Uhr:iese Versicherung im Therad Titel ist ja idR bei den Vergleichsportalen immer oben mit bei - angebl. günstig&gut.ch selbst habe keine Erfahrungswerte dazu.ch habe Erfahrungswerte mit einer KFZ Vers. mit sitz in Coburg.un ja in den letzten 12 Jahre nie einen Unfall gehabt - bischen trantütig sind Sie aber schon den für den Neuenab ich nun 3 Policen und davon aber keine wie letztendlich gewünscht.n der Hotline viel bla blub da gelten dann andere Gesetze als bei der online Berechnung.llerdings war eine Bekannte letztens beim :-) einen Schaden zu regulieren , der frendliche Servisceberater meinech schauen Sie mal den Stapel Papier an das ist alles auch von der Vers. bei der Sie sind.r konnte kein gutes Wort lassen.etzt mal die Frage aller Fragen - wo bitte kann man sein Auto gut und zu vernünftigen Preisen versichern lassenhne groß vorher tausende Seiten bla blub im Kleingedrucken durchzulesen und ohne diesen Options Hokuspokuso du 5 Euro geschenk bekommst und an anderer Stelle 6 drauf legst ?es Weiteren frage ich mich ob die Option Rabattschutz sinvoll ist - gibt es hier eine möglichkeit das zu errechnen und anzuwägen. Die Hotline selbst ist dazu nicht in der Lage eine vernünftig Antwort zu generieren.iese Option kostet mich im halben Jahr immerhin 70 Euro.ie soll man das beurteilen?enn Du einen rückstufungswirksamen Schaden verursachst und der Beitragsverlust aufgrund der Rückstufung auf Sicht größer ist als die 70.- Euro p. a. KÖNNTE es sich gelohnt haben. Falls der Versicherer Deinen Vertrag über Beitragsanpassungen immer wieder teurer macht, weil er weiß, dass Du kaum wechselns kannst, da der gerettete SFR nicht weitergegeben wird, KANN es durchaus sein, dass sich der Rabattschutz trotzdem nicht gelohnt hat.erursachst Du keinen Schaden, ja dann .......","Versicherung, KFZ, Unfall, Hotline, Schaden, Frage, frage, Antwort, beurteilen, Vertrag, SFR, Rabattschutz",negative
Gibt es denn eine Möglichkeit bzw Übersicht von fairen KFZ Versicherungen ?ür den Normalo ist es doch schier unmöglich halbwegs genau und objektiv zu filtern.,KFZ,neutral
"Also ich habe nur sehr gute Erfahrungen mit dieser Versicherung gemacht. Ist halt eine Direktversicherung, da muss man halt etwas Abstriche machen.atte einen Steinschlag in der Frontscheibe. Habe dann angerufen, etwas Zeit in der Warteschleife verbracht, mit der Mitarbeiterin einen Termin bei der Werkstatt gemacht (Werkstattbindung). TK SB 150€ gezahlt und schon zwei Tage später hatte ich eine neue Scheibe. Bekam sogar kostenlos ein Ersatz-auto (VW Up)lles recht unkompliziert. Kann mich da nicht beklagen.","Erfahrungen, Versicherung, unkompliziert",negative
"hi,ufgrund meiner persoenlichen erfahrung (siehe unten) moechte ich bavaria direkt nicht empfehlen.ier was passiert ist (ich habe hier schon mal geschrieben, finde es aber nicht mehr): mir wurde mein fahrzeug (audi rs5) mitte julie 2015 am flughafen in hamburg gestohlen ich habe den schaden sofort der bavaria direkt gemeldet (telefonisch und schriftlich) rueckfragen waren nicht moeglich, da die schadensregulierung von ostdeutsche versicherung uebernommen wird und auf aussage schadensannahme nur schriftliche kontakte bearbeitet werden ich hatte einen sachbearbeiter (herr reneberg -> nebst email & telefonnummer) zugeordnet bekommen, den ich nicht erreichen konnte (nicht telefonisch, nicht per email und auch nicht per post) die versicherung hat 2 wochen fuer die aufnahme benoetigt und mir gesagt, dass ab dort eine 4 wochenfrist / 1 montagsfrist gilt, in der sie das fahrzeug auffinden koennen sprich, die versicherung hat schon einmal 6 wochen aus der gesetzlichen 1 monatsfrist gemacht auf mehrere nachfragen meinerseits (auch schriftlich) wurde nicht mehr reagiert ich habe dann ein schreiben bekommen, worin mir mitgeteilt wurde, dass sie ueber dekra mein fahrzeug haben schaetzen lassen und bald regulieren werden -> so weit so gut das war das letzte, was ich von der verischerung gehoert habe ich habe dann nach ein paar wochen meinen anwalt eingeschaltet (ich hatte zum glueck eine rechtschutzverischerung bei da direkt -> die ich sehr empfehlen kann!!!!!) die versicherung hat weder auf mich, noch auf meine anwalt reagiert mein anwalt ist vor gericht gegangen (berlin: das dauert in deutschland leider mittlerweile ewig) auf die aufforderung des gerichts an beide parteien, sich zu der sachlage zu aeussern, hat die bavaria direkt (nach aussage meines anwalts) gar nicht reagiert ich habe dann ein 3/4 jahr gebibbert und immer wieder meinen anwalt gefragt, ob ich denn nichts machen koenne -> kein geld -> kein neues auto!!!!!! zu guter letzt hat meinen anwalt einen vollstreckbaren titel bekommen und das geld (43000EUR + seine kosten) gepfaendet also auto mitte julie 2015 gestohlen --> geld von der verischerung durch pfaendung ende apil 2016 -> 9 monate die versicherung hat nie mit mir oder meine anwalt kommuniziert / begruendet, warum sie nicht zahlen will -> das war fuer mich das schlimmste ich fahre jetzt einen alten golf und nicht mehr audi r5, da ich 9 monate kein geld hatte und es jetzt auch nicht mehr einsehe, warum ich viel geld / steuern fuer ein tolles auto bezahle, und die politik selbst mit 50% steuern auf unser einkommen + 85cent steuer per liter unseren besitzt nicht schuetzen kann / will. ich bin von solchen schoenen dingen jetzt ab das einzig positive (und dafuer moechte ich mich noch mal recht schoen bei herrn feneberg von der ostdeutschen verischerungs ag bedanken) --> ich habe 5% zinsen ueber dem basissatz fuer die zeit von der versicherung erhalten (natuerlich nicht freiwillig :-)as ist meine einzige erfahrung mit bavaria direkt und bleibt ganz sicher auch meine letzte!!!lles gute.merlot","schaden, telefonisch, versicherung, fuer, schreiben, empfehlen, geld",negative
"Ich will ja nicht sagen selber Schuld, aber gerade bei einem Fahrzeug in dieser Preiskategorie sucht man sich auch nicht den erstbesten Direktversicherer, welcher bei Check24 im Vergleich ganz oben auftaucht. Der günstige Preis muss ja irgendwo her kommen. Die zukünftigen Schadenzahlungen können vom Versicherer nur schwer beeinflusst werden, also wird an der Kostenschraube gedreht (outgesourctes und schlecht geschultes Servicepersonal, zentrale Hotlines mit ewigen Wartezeiten, günstigste Partnerwerkstätten usw.).ie Wahl des Versicherers (nicht nur im Bereich Kfz) gemäß dem Motto Geiz ist Geil rächt sich halt oftmals erst im Schadenfall...rbeite selbst bei einem Versicherer. Hier wird auf jede Korrespondenz im Schadenfall die individuelle Rufnummer des SB gedruckt, welcher einen festen Bestand betreut und direkt für den Kunden zu erreichen ist...Aber dieses Servicelevel kostet halt ein paar Euro mehr im Jahr...","sagen, Check24, Preis, Wartezeiten, Kfz, Kunden",negative
"Zitat:Wecki500 schrieb am 23. August 2016 um 14:58:00 Uhr:ch will ja nicht sagen selber Schuld, aber gerade bei einem Fahrzeug in dieser Preiskategorie sucht man sich auch nicht den erstbesten Direktversicherer, welcher bei Check24 im Vergleich ganz oben auftaucht. Der günstige Preis muss ja irgendwo her kommen.orry, aber das ist wohl nicht Dein Ernst. Eine Versicherungsgesellschaft, die in Deutschland eine KFZ-Versicherung mit einem per Versicherungsschein definierten Leistungsumfang anbietet, hat diese Leistungen auch zu erbringen, wenn man sich als Kunde (wie bei Merlot entsprechend seiner eigenen Schilderungen der Fall) an die entsprechenden Prozesse und Termine hält und seine Beiträge fristgerecht bezahlt. Das gilt auch und gerade für sogenannte Direktversicherungen, also solche Anbieter, die keine persönlichen Ansprechparter in der Fläche haben und deshalb besonders auf vernünftig funktionierende Prozesse und eine gute Kommunikation mit dem Kunden angewiesen sind.nd ganz ehrlich: nach meiner eigenen Erfahrung (nicht nur KFZ) funktioniert das auch überwiegend gut, während man auch bei sogenannten Premium-Versicherungen, also solchen mit Agenturen und Personal in der Fläche, im Zweifel durchaus sein blaues Wunder erleben kann. Deine Pauschalierung ist also alles andere als angebracht.","sagen, Check24, Preis, Versicherungsschein, Leistungsumfang, Leistungen, Kunde, Termine, Beiträge, Kommunikation, Kunden, KFZ",negative
"Hallo Gemeinde,at jemand Erfahrungen mit der Bavaria Direkt Autoversicherung gemacht? Hab nun einige Angebote und Leistungen verglichen und bin nun bei dieser Gesellschaft hängen geblieben. Nun würde mich interessieren, wie die Meinungen so sind. Auch in punkto Service und erreichbarkeit.äre für jedes feedback dankbar.ingbenzly","Erfahrungen, Angebote, Leistungen, Service",positive
"Meine Erfahrungen sind anders. Ein direkter Ansprechpartner ist Gold wert. Das bieten leider nur noch sehr wenige Versicherer. Viele Probleme rühren daher, das die linke Hand nicht weis, was die rechte tut. Meine Erfahrungen mit Direktversicherungen sind derart, dass wir (Versicherungsmakler) uns nach Jahren entschlossen haben es nicht mehr zu versuchen und keinen Direktversicherer mehr zu vermitteln. Vorraus gingen einige Gehversuche mit Direktversicherern - keiner konnte oder wollte den Service liefern den wir erwarten (und die Kunden von uns).","Erfahrungen, Probleme, Service, Kunden",negative
"Kann es sein, dass es auch an den geringeren Provisionen liegt, die von Direktversicherungen bezahlt werden?",,negative
"Ja. Für uns ist die Courtage bei Kfz aber nebensächlich. Warum das so ist habe ich in http://www.motor-talk.de/.../EditPost.html?... (ich hoffe das funktioniert so) schon erklärt. Unser Ziel ist es den Kunden umfassend mit möglichst guten und preiswerten Produkten zu versichern. Wenn sich der Kunde für eine Direktversicherung entscheidet, dann ist das für uns in Ordnung. Er weiß dann auch, dass er unsere Infrastruktur und unser Wissen im Schadenfall nicht kostenlos nutzen kann.as hat aber alles mit den schlechten Erfahrungen, die wir selbst mit Direktversicherern (die wir einige Jahre vermittelt haben) gemacht haben nichts zu tun. Der Unterschied ist kurz erklärt so: Wenn es bei einem unserer bevorzugten Versicherer mal hakt, dann ist das in 95 % der Fälle mit einem Anruf oder einer Email zu lösen. -> Kunde ist zufrieden.ei den Direktversicherern war das vielleicht in 20 % der Fälle der Fall. 60 % waren Aufwändiger und 20 % der Fälle waren einfach nur unterirdisch und sehr sehr langwierig. -> Kunde ist unzufrieden. Das ist es, was Geld kostet, nicht die geringere Vermittlungsgebühr.","Kfz, Kunden, Kunde, Ordnung, Erfahrungen, einfach, Geld",negative
